num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,bs_degree,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,2,poolmodel,0.0185,-0.009285186675614248,0.006682571675142686,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,2,sepmodel,0.0224,6.428599586241384e-4,0.007927868373160002,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,2,splines,0.0235,3.005471082784821e-4,0.007237667631638918,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,2,splines_cal,0.0232,3.5088519050505905e-4,0.007312614785073413,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,3,fixmodel,0.0271,-8.05225014339291e-5,0.007422445077491423,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,3,poolmodel,0.0179,-0.009792513184721506,0.006676710611805919,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,3,sepmodel,0.0279,1.3553344951687635e-4,0.007957993989302057,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,3,splines,0.0274,-2.0722745683897565e-4,0.0073241836709321915,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,3,splines_cal,0.0266,-1.7452979685678052e-4,0.007386016543390009,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,4,fixmodel,0.024,0.001502644893046587,0.007133175167386499,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,4,poolmodel,0.0147,-0.015206017534629496,0.006461422041087759,0,10000
