num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0267
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0564
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.2139
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0264
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0247
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.041
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0647
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0239
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0219
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0568
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1283
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0211
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0274
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0753
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.2146
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0256
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0226
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0541
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0646
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0225
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0262
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0797
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1297
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0264
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0218
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0963
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.2093
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0221
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0231
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0327
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0618
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.023
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0232
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.1066
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1231
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.023
