num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,3,mixmodel,0.9282
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,3,mixmodel_cal,0.9951
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,3,sepmodel,0.8312
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,2,fixmodel,0.8512
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,2,fixmodel_cal,0.8509
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,2,mixmodel,0.8959
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,2,mixmodel_cal,0.9718
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,2,sepmodel,0.8283
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,3,fixmodel,0.8616
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,3,fixmodel_cal,0.8615
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,3,mixmodel,0.9165
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,3,mixmodel_cal,0.9979
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.15,0.15,0.15,0.15,linear,0.025,EQ,H1,3,sepmodel,0.8337
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,2,fixmodel,0.8457
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8455
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,2,mixmodel,0.8297
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.4685
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,2,sepmodel,0.8188
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,3,fixmodel,0.8536
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8536
